product_id,brand_name,review_id,review_title,review_text,author,review_date,review_rating,is_a_buyer,pro_user,review_label,CATEGORY,SUB CATEGORY,product_title,mrp,price,product_rating,product_rating_count,product_tags,product_url
995305,Lakme,15863853,Not satisfied,It's a first time that I'm very disappointed with lakme........ It's all not worthy.... Both are not waterproof and not smudgeproof too..... It's just waste off money.....,Payal Meshram,11/29/2020 12:57,1,TRUE,FALSE,Verified Buyer,EYE,EYE COMBO,Lakme Eye-conic Eyes Combo,750,630,3.9,9648,,https://www.nykaa.com/lakme-eye-conic-eyes-combo-pink-friday-nov2020-slash-save/p/995305
995305,Lakme,15817682,Lakme eye conic liner,pathetic liner . Dont order . No stay at all . Very bad experience. Sumdhmging a lot,Anushka Chawla,11/27/2020 15:17,1,TRUE,FALSE,Verified Buyer,EYE,EYE COMBO,Lakme Eye-conic Eyes Combo,750,630,3.9,9648,,https://www.nykaa.com/lakme-eye-conic-eyes-combo-pink-friday-nov2020-slash-save/p/995305
995305,Lakme,19752721,Nice quality,Is ok but the look of the product is perfect. Quite good and lasts for a good time Dries up quickly as well.,EKRA,7/29/2021 14:42,4,FALSE,FALSE,,EYE,EYE COMBO,Lakme Eye-conic Eyes Combo,750,630,3.9,9648,,https://www.nykaa.com/lakme-eye-conic-eyes-combo-pink-friday-nov2020-slash-save/p/995305
995305,Lakme,23434117,Eye-conic combo,Liner is smudge and water proof but mascara is bit smudgy.,priyanka srivastav,3/16/2022 10:28,4,FALSE,FALSE,,EYE,EYE COMBO,Lakme Eye-conic Eyes Combo,750,630,3.9,9648,,https://www.nykaa.com/lakme-eye-conic-eyes-combo-pink-friday-nov2020-slash-save/p/995305
995305,Lakme,22515447,Good mascara.,This mascara is gives good effect on the eyes and gives damn look. I like this mascara.,preeti kumari,1/20/2022 20:07,4,FALSE,FALSE,,EYE,EYE COMBO,Lakme Eye-conic Eyes Combo,750,630,3.9,9648,,https://www.nykaa.com/lakme-eye-conic-eyes-combo-pink-friday-nov2020-slash-save/p/995305
995305,Lakme,18280189,Good combo,Good combo from a trusted brand also I have to tell this to my cousin on her birthday,Sharmistha Paul,5/10/2021 19:03,4,FALSE,FALSE,,EYE,EYE COMBO,Lakme Eye-conic Eyes Combo,750,630,3.9,9648,,https://www.nykaa.com/lakme-eye-conic-eyes-combo-pink-friday-nov2020-slash-save/p/995305
995305,Lakme,15800068,amazing combooo!!!!!,what are you waiting for.........just buy it.....you are never getting this deal again,Varuni Narayanan,11/26/2020 19:32,4,FALSE,FALSE,,EYE,EYE COMBO,Lakme Eye-conic Eyes Combo,750,630,3.9,9648,,https://www.nykaa.com/lakme-eye-conic-eyes-combo-pink-friday-nov2020-slash-save/p/995305
995305,Lakme,23436569,Not good,It's a first time that I'm very disappointed with lakme........ It's all not worthy.... Both are not waterproof and not smudgeproof too..... It's just waste off money.....,Abhi Gajera,3/16/2022 12:05,3,FALSE,FALSE,,EYE,EYE COMBO,Lakme Eye-conic Eyes Combo,750,630,3.9,9648,,https://www.nykaa.com/lakme-eye-conic-eyes-combo-pink-friday-nov2020-slash-save/p/995305
995305,Lakme,19763382,Mascara is not good,I have used lakme eyeconic mascara earlier and didn't found it good. Now I am using faces mascara and its actually very good and recommended,Parul,7/29/2021 19:00,2,FALSE,FALSE,,EYE,EYE COMBO,Lakme Eye-conic Eyes Combo,750,630,3.9,9648,,https://www.nykaa.com/lakme-eye-conic-eyes-combo-pink-friday-nov2020-slash-save/p/995305
981,Lakme,17882300,Lakme kajal-black,Totally wastage of money Can’t apply even 4-5 strokes,shama,4/20/2021 10:17,1,TRUE,FALSE,Verified Buyer,EYE,EYE KAJAL,Lakme Kajal - Black,75,75,4.1,6197,,https://www.nykaa.com/lakme-kajal/p/981
981,Lakme,15562750,Ok,"Pigmentation is good and quantity is ok for the prize. But not smudge proof , didn't last long on eyes",ARYA P MOHANAN,11/9/2020 18:27,2,TRUE,FALSE,Verified Buyer,EYE,EYE KAJAL,Lakme Kajal - Black,75,75,4.1,6197,,https://www.nykaa.com/lakme-kajal/p/981
